contratacao,status_contratacao,unidade,objeto,fornecedor,cpf_cnpj,valor_estimado,valor_empenhado,valor_liquidado,valor_pago
2023004731,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE MATERIAIS E PRESTAÇÃO DE SERVIÇO PERTINENTES AO LABORATÓRIO DE ANÁLISE INSTRUMENTAL DA FACULDADE DE TECNOLOGIA,TECHNAV SOLUÇÕES EM EQUIPAMENTO E COMERCIO ATACATISTA E VAREJISTA EIRELI,33.518.624/0001-54,1858.24,1858.24,1835.95,1835.95
2023004732,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,CONTATTI  COMERCIO E REPRESENTACOES LTDA,90.108.283/0001-82,428300.4,428300.4,,
2023004733,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Locação de veículo,CS BRASIL FROTAS S.A.,27.595.780/0001-16,5241.99,1,,
2023004734,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Contratação de empresa especialiada na prestação de serviços de telefonia IP através do fornecimento de tronco SIP para a Universidade do Estado do Rio de Janeiro,VERBIO TELECOM LTDA,39.669.334/0001-98,16788,16788,2798,2798
2023004735,Ativo,CEASA-RJ - CENTRAIS DE ABASTECIMENTO DO ESTADO DO RJ,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SEGURO TOTAL DE VEÍCULOS E ASSISTÊNCIA 24 HORAS,PORTO SEGURO CIA DE SEGUROS GERAIS,61.198.164/0001-60,2000.41,2000.41,2000.41,2000.41
2023004736,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM GRUPO DE GERADORES DA MARCA STEMAC PARA DIREÇÃO DE LOGÍSTICA E INFRAESTRUTURA HOSPITALAR,ELECTRON DALMAR LTDA,42.519.504/0001-62,9900,2475,825,825
2023004737,Ativo,PESAGRO-RIO - EMPR DE PESQUISA AGROPECUÁRIA DO EST DO RJ,Serviço de manutenção corretiva e assistência técnica em equipamentos de ar condicionado,RICARDO SOARES FERNANDES 57355819704,46.784.105/0001-80,6155,6155,,
2023004738,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE PROSUTOS QUÍMICOS ,PROVERLAB COMERCIO DE PRODUTOS QUÍMICOS,28.574.436/0001-03,563,563,563,563
2023004739,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Aquisição de materiais elétricos,A ILUMINADA COMÉRCIO E SERVIÇOS DE MATERIAIS ELÉTRICOS E ILUMINAÇÃO LTDA,24.870.133/0001-87,8474.98,8474.98,8474.98,8474.98
2023004740,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Aquisição de materiais elétricos,ANTONIO CARLOS POLY,49.075.392/0001-47,747.5,747.5,747.5,747.5
2023004741,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,A aquisição de grampeadores cirúrgicos,IDS MEDICAL IMPORTACAO/ DISTRIBUICAO E SERVICO EIRELI,32.416.864/0001-85,31397.82,20685.62,15275.72,4455.92
2023004742,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Aquisição de materiais elétricos,ELETROMIL COMERCIAL LTDA,28.416.105/0005-79,3934.37,3934.37,,
2023004885,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,Contratação emergencial de empresa especialiada em serviços continuados de manutenção predial preventiva e corretiva incluindo transformador de entrada de energia elétrica instalações elétricas de baixa tensão sistemas hidro sanitários e conservação física e estrutural na unidades assistencial e instalações administrativas da unidade de Pronto Atendimento da Maré sob gestão da Fundação Saúde do Estado do Rio de Janeiro,DE SÁ CONSTRUÇÕES E SERVIÇOS LTDA,07.028.841/0001-56,937504.8,392501.6,87557.55,73723.45
2023004886,Em Aberto,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO NITROGLICERINA ID 6975,MULTIFARMA COMÉRCIO E REPRESENTAÇÕES LTDA,21.681.325/0001-57,15740,15740,,
2023004887,Em Aberto,SETUR - SECRETARIA DE TURISMO,Participação da SETUR na Expo Itaguaí,TRAÇÃO CONSULTORIA PRODUÇÕES E EVENTOS LTDA / TRACAO,49.719.005/0001-68,350000,350000,350000,350000
2023004888,Ativo,JUCERJA - JUNTA COMERCIAL DO ESTADO DO RIO DE JANEIRO,Inscrição de servidores para participação em Seminário,INFOCO-RH LTDA,44.825.501/0001-82,8370,8370,7968.24,7968.24
2023004889,Em Aberto,FUNARJ - FUND ANITA MANTUANO DE ARTES DO EST DO RJ,Contratação de empresa especialiada naprestação de serviços de manutenção predial com fornecimento de mão de obra ferramental emateriais,UNISERVICE COMERCIO E EMPREENDIMENTOS EIRELI,03.555.382/0001-08,3889870.7,1268706.72,627083.63,627083.63
2023004890,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,ATENDER A DEMANDA DO PROCESSO SEI2600070440382022,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,17.771.867/0001-43,2880,1,,
2023004891,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,ATENDER A DEMANDA DO PROCESSO SEI2600070440382022,DLW COMERCIAL DISTRIBUIDORA LTDA,45.992.528/0001-22,10020,1671,,
2023004892,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,ATENDER A DEMANDA DO PROCESSO SEI2600070440382022,HUNTER CIENTIFICA COMERCIAL E SERVIÇOS LTDA,00.304.559/0001-05,1476,1476,,
2023004893,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,ATENDER A DEMANDA DO PROCESSO SEI2600070440382022,LEMAN MEDICAMENTOS E CIA LTDA,40.600.760/0001-54,9973.2,7353.6,,
2023004894,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,ATENDER A DEMANDA DO PROCESSO SEI2600070440382022,MEDICAL CL 23 COMÉRCIO DE PRODUTOS MÉDICOS EIRELI,32.743.252/0001-05,26640,1,,
2023004895,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,ATENDER A DEMANDA DO PROCESSO SEI2600070440382022,PRODUTOS CRÚRGICOS SERRA DA ESTRELA LTDA,06.906.357/0001-10,14677.44,831,816,816
2023004896,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,ATENDER A DEMANDA DO PROCESSO SEI2600070440382022,SUPER DR COMÉRCIO DE PRODUTOS MÉDICOS HOSPITALARES EIRELI,29.960.082/0001-06,15792,3948,,
2023004897,Em Aberto,SETD - SECRETARIA DE ESTADO DE TRANSFORMACAO DIGITAL,contratação de Agência de Viagens verificando a vantajosidade para aAdministração Pública O objeto incorpora as transações apresentadas a seguir Reserva marcação emissão e entrega debilhetes de passagens aéreas no âmbito nacional e internacional emissão de seguro de assistência em viagem internacional ede hospedagem,WEBTRIP AGÊNCIA DE VIAGENS E TURISMO EIRELI,07.340.993/0001-90,300000,150000,71050.43,48708.75
2023004898,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,ESTE IMUNOCROMATOGRÁFICO PARA IDENTIFICAÇÃO DO COMPLEXO M,MEDLEVENSOHN COMÉRCIO E REPRESENTAÇÕES DE PRODUTOS HOSPITALARES LTDA,05.343.029/0001-90,118927.5,118535,,
2023004899,Em Aberto,AGENERSA - AG REGUL ENERGIA E SANEAMENTO DO EST RJ,Participação e inscrição de 03 três servidores no curso de Elaboração da Nova Planilha de Custos Formação de Preços e Terceiriação ministrado pela ESAFI ESCOLA DE ADM E TREINAMENTO entre os dias 11 e 14 de julho de 2023 a ser realiado presencialmente na cidade de João Pessoa PB,ESAFI - ESCOLA DE ADMINISTRAÇÃO E TREINAMENTO LTDA - EPP,35.963.479/0001-46,12570,12570,12570,12570
2023004900,Em Aberto,SEFAZ - SECRETARIA DE ESTADO DE FAZENDA,Adesão à Ata de Registro de Preços n 0172022 cujo o objeto é a AQUISIÇÃO DE PAPEL PARA REPROGRAFIA FORMATO A4 DIMENSÃO L X C 210 X 297 MM GRAMATURA 75 GM COR BRANCO TIPO COMUM FORMA DE FORNECIMENTO RESMA COM500 FOLHAS,GLOBO COMERCIO DE INFORMATICA EIRELI,31.588.978/0001-40,93100,93100,93100,93100
2023004901,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de medicamentos para o Hospital Universitário Pedro Ernesto,MEGA MEDIC COMERCIAL EIRELI,30.572.032/0001-22,43600,4500,,
2023004902,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de medicamentos para o Hospital Universitário Pedro Ernesto,ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA ME (MATRIZ),10.586.940/0001-68,18189,5805,,
2023004743,Ativo,SEPLAG - Secretaria de Estado de Planejamento e Gestão, Registro de Preços de serviços continuados de outsourcing para operação de almoxarifado virtual,BRS SP SUPRIMENTOS CORPORATIVOS S/A,03.746.938/0001-43,658590.64,18294.18,,
2023004744,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de saneantes para o Hospital Universitário Pedro Ernesto,INDALABOR INDAIA LABORATORIO FARMACEUTICOLTDA(MATRIZ),04.654.861/0001-44,53772,9808,9795.24,8744
2023004745,Em Aberto,SEDSODH - SEC ESTADO DESEN SOCIAL E DE DIR HUM,pagamento boleto fonseas 2023,FONSEAS-FÓRUM NACIONAL DE SECRETARIOS DE ASSISTÊNCIA SOCIAL,01.395.134/0001-11,15000,15000,15000,15000
2023004746,Em Aberto,DPGE - DEFENSORIA PÚBLICA GERAL DO ESTADO,A presente Ata tem por objeto o Registro de Preços para SERVIÇOS DE CONFECÇÃO DE MATERIAL GRÁFICO PERSONALIZADO visando suprir a Defensoria Pública com materiais gráficos informativos e de divulgação ao público assim como os de apoio utiliados nos eventos institucionais conforme as especificações contidas no Edital de Pregão Termo de Referência Anexo I do Edital e a Proposta de Preços Anexo II do Edital assim como as informaçõesreunidas no Anexo I Consolidação das Informações desta Ata de Registro de Preços,FAST GRÁFICA E EDITORA LTDA.,13.944.941/0001-25,790,,,
2023004747,Ativo,FIA - FUNDAÇÃO PARA A INFÂNCIA E ADOLESCÊNCIA,Prestação de serviço de hospedagem em Servidores Virtuais Privados VPS,PRODERJ - CENTRO DE TECNOLOGIA DE INFORMACAO E COMUNICACAO DO ESTADO DO RIO DE JANEIRO,30.121.578/0001-67,69568.32,40581.52,,
2023004748,Ativo,FES - FUNDO ESTADUAL DE SAÚDE,AQUISIÇÃO DE MEDICAMENTO,COSTA CAMARGO COMERCIO DE PRODUTOS HOSPITALARES LTDA (MATRIZ),36.325.157/0001-34,18063,18063,,
2023004749,Cancelado,SEPLAG - Secretaria de Estado de Planejamento e Gestão,,FENIXX  SEGURANÇA E TRANSPORTE DE VALORES LTDA,02.060.306/0001-69,456262.08,0,,
2023004750,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,INSUMOS PARA REALIZAÇÃO DE EXAMES DE MICROBIOLOGIA,DIAG PRIME COMERCIO E DISTRIBUICAO DE PRODUTOS CIENTÍFICOS EIRELI,02.016.542/0001-88,9670,9670,,
2023004751,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,INSUMOS PARA REALIZAÇÃO DE EXAMES DE MICROBIOLOGIA,PLAST LABOR IND E COM DE EQUIP HOSP E LAB LTDA,31.864.051/0001-95,94245.8,94245.8,,
2023004752,Ativo,CEHAB - COMPANHIA ESTADUAL DE HABITAÇÃO DO RJ,Serviços de Locação de 60 Sessenta Aparelhos de Ar condicionado tipo Split e Janela nas dependências desta CEHABRJ e Agências incluindo instalação e manutenção, INTELIGÊNCIA ARTIFICIAL TECNOLOGIA E ,01.579.387/0001-45,117594.6,23678.75,,
2023004753,Ativo,JUCERJA - JUNTA COMERCIAL DO ESTADO DO RIO DE JANEIRO,CONTRATACÃO DE EMPRESA ESPECIALIZADA PARA CONFECÇÃO FORNECIMENTO E ADMINISTRAÇÃO DE CARTÃO ELETRÔNICO ALIMENTAÇÃO ,GREEN CARD S/A REFEIÇÕES COMERCIO E SERVIÇOS,92.559.830/0001-71,1535960,704641.86,,
2023004754,Ativo,SECC - Secretaria de Estado da Casa Civil (Antiga SEGOV),Aquisição de café em pacote de 500g por decorrência da celebração da Ata de Registro de Preços SECC n 0032023 do qual a Secretaria de Estado da Casa Civil figura como ÓRGÃO GERENCIADOR E PARTICIPANTE,F PEREIRA COMERCIO E DISTRIBUIDORA LTDA,31.021.788/0001-46,8073,8073,8073,8073
2023004755,Cancelado,SEPLAG - Secretaria de Estado de Planejamento e Gestão,,FENIXX  SEGURANÇA E TRANSPORTE DE VALORES LTDA,02.060.306/0001-69,1747963.68,0,,
2023004756,Em Aberto,EMOP - EMPRESA DE OBRAS PÚBLICAS DO ESTADO DO RJ, Obras Emergenciais no MURO VOLTADO PARA A LOCALIZAÇÃO DA RUA CARDOSO JUNIOR EF N 479 LARANJEIRAS RIO DE JANEIRO,DRV ENGENHARIA EIRELI,34.551.839/0001-30,1500000,9800000,,
2023004757,Em Aberto,CEPERJ - FUND CENTRO EST. ESTAT.  PESQ. SERV RJ,Contratação de empresa especialiada em prestação de serviços de locação de espaço físico imóvel,FJB SÃO BENTO EMPREENDIMENTOS LTDA,23.184.108/0001-87,1547880.12,601953.38,,
2023004758,Em Aberto,CEPERJ - FUND CENTRO EST. ESTAT.  PESQ. SERV RJ,Destina se a emissão de Nota de Empenho ESTIMATIVO a favor da empresa Condomínio do Edifício São Bento Oito situado à Rua São Bento n 8 centro RJ,CONDOMÍNIO DO EDIFÍCIO SÃO BENTO OITO,28.716.108/0001-02,420000,320000,248882.19,248882.19
2023004759,Em Aberto,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO DASATINIBE ID 138400,BRISTOL MYERS SQUIBB FARMACÊUTICA LTDA,56.998.982/0031-22,86298,77668.2,77668.2,77668.2
2023004760,Ativo,SEPM - Secretaria de Estado de Polícia Militar,Aquisição de pães congelados incluindo a cedência de equipamentos em comodato,COMERCIAL MILANO BRASIL LTDA,01.920.177/0001-79,1141164.2,1141164.2,,
2023004761,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO CABERGOLINA ID 17294,COSTA CAMARGO COMERCIO DE PRODUTOS HOSPITALARES LTDA (MATRIZ),36.325.157/0001-34,318.4,318.4,314.58,314.58
2023004762,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Biblioteca ION,LIFE TECHNOLOGIES BRASIL COMERCIO E INDUSTRIA DE PRODUTOS PARA BIOTECNOLOGIA LTDA,63.067.904/0005-88,54750.24,54750.24,,
2023004763,Em Aberto,CEPERJ - FUND CENTRO EST. ESTAT.  PESQ. SERV RJ,Contratação de empresa especialiada para fornecimento de equipamento tipo MICROSCANNER PoE PARA VERIFICAÇÃO DE REDE DE DADOS para a Fundação Centro Estadual de Estatísticas Pesquisas e Formação de Servidores Públicos do Rio de Janeiro de acordo com as especificações e padrões de desempenho e qualidade descritos no referido Termo de Referência,GUILHERME SOEHNCHEN FERRAMENTAS LTDA,33.054.412/0005-97,7978,7978,7882.26,7882.26
2023004764,Ativo,LOTERJ - LOTERIA DO ESTADO DO RIO DE JANEIRO     ,Contratação de empresa especialiada na prestação de serviços de transporte remunerado privado individual de servidores para atender as demandas da LOTERJ na Região MetropolitanaAdesão a Ata N 000032022 SRP do Conselho Regional de Nutricionistas 4 Região CRN4,I9 SOLUTIONS SOLUÇÕES COMERCIAIS E GESTÃO DE TRANSPORTE LTDA,11.735.329/0001-17,30600,12000,,
2023004765,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de placas eletrocirúrgicas para bisturis para o Hospital Universitário Pedro Ernesto,BIOHOSP PRODUTOS HOSPITARES S/A,18.269.125/0001-87,12815.6,4457.6,4424.17,4424.17
2023004766,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de placas eletrocirúrgicas para bisturis para o Hospital Universitário Pedro Ernesto,MASTER MEDICAL COMERCIO DE PRODUTOS HOSPITALARES EIRELI,29.475.673/0001-80,157352,71734,,
2023004768,Ativo,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO, A aquisição de ARMÁRIO ESCRITÓRIO ALTO ARMÁRIO ROUPEIRO 16 PORTAS ARMÁRIO ROUPEIRO 2 PORTAS ESTANTE DE AÇO 6 PRATELEIRAS MESA DE ESCRITÓRIO MESA DE REUNIÃO CADEIRA INTERLOCUTOR CADEIRA FIXA CADEIRA GIRATÓRIA SOFA DE 2 LUGARES LONGARINA DE 5 LUGARES DE AÇO LONGARINA DE 2 LUGARES DE AÇO BANCO DE MADEIRA E OUTROS,CSX COMERCIAL LTDA -EPP,13.828.262/0001-90,359249,359249,129730,58301.88
2023004769,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO, A aquisição de ARMÁRIO ESCRITÓRIO ALTO ARMÁRIO ROUPEIRO 16 PORTAS ARMÁRIO ROUPEIRO 2 PORTAS ESTANTE DE AÇO 6 PRATELEIRAS MESA DE ESCRITÓRIO MESA DE REUNIÃO CADEIRA INTERLOCUTOR CADEIRA FIXA CADEIRA GIRATÓRIA SOFA DE 2 LUGARES LONGARINA DE 5 LUGARES DE AÇO LONGARINA DE 2 LUGARES DE AÇO BANCO DE MADEIRA E OUTROS,ARDO DO BRASIL DISTRIBUIDORA DE PECAS E SERVICOS LTDA,10.656.610/0001-00,46395.04,46395.04,46395.04,
2023004770,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO, A aquisição de ARMÁRIO ESCRITÓRIO ALTO ARMÁRIO ROUPEIRO 16 PORTAS ARMÁRIO ROUPEIRO 2 PORTAS ESTANTE DE AÇO 6 PRATELEIRAS MESA DE ESCRITÓRIO MESA DE REUNIÃO CADEIRA INTERLOCUTOR CADEIRA FIXA CADEIRA GIRATÓRIA SOFA DE 2 LUGARES LONGARINA DE 5 LUGARES DE AÇO LONGARINA DE 2 LUGARES DE AÇO BANCO DE MADEIRA E OUTROS,PRISMA COMERCIO DE MOVEIS E EQUIPAMENTOS LTDA,28.926.250/0001-76,51559,51559,,
2023004771,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO, A aquisição de ARMÁRIO ESCRITÓRIO ALTO ARMÁRIO ROUPEIRO 16 PORTAS ARMÁRIO ROUPEIRO 2 PORTAS ESTANTE DE AÇO 6 PRATELEIRAS MESA DE ESCRITÓRIO MESA DE REUNIÃO CADEIRA INTERLOCUTOR CADEIRA FIXA CADEIRA GIRATÓRIA SOFA DE 2 LUGARES LONGARINA DE 5 LUGARES DE AÇO LONGARINA DE 2 LUGARES DE AÇO BANCO DE MADEIRA E OUTROS,TUBARÕES ARMAZÉNS LOGÍSTICOS LTDA,34.584.370/0001-35,43916.66,43916.66,,
2023004772,Ativo,SETRANS - SECRETARIA DE ESTADO DE TRANSPORTES,Aquisição de 01 um forno microondas com capacidade mínima de 30 litros e de 01 um aparelho de TV de aproximadamente 80 a 85 polegadas Display em LED com entradas USB e HDMI para suprir as necessidades como reuniões on line eventos e outros conforme detalhamento e especificações deste Termo de Referência para atender à demanda dos servidores do Gabinete do Secretário de Transporte e Mobilidade Urbana,GBL OURO EMPREENDIMENTOS E SERVIÇOS EIRELI,43.184.162/0001-30,11694,11694,,
2023004773,Em Aberto,FTMRJ - FUNDAÇÃO TEATRO MUNICIPAL DO RIO DE JANEIRO,EMPENHO,ALNETTO COMERCIAL E SERVIÇOS EIRELI-ME,27.039.914/0001-12,153,153,153,153
2023004774,Em Aberto,FTMRJ - FUNDAÇÃO TEATRO MUNICIPAL DO RIO DE JANEIRO,EMPENHO,CAMEPEL COMERCIO DE PAPÉIS EIRELI,18.631.695/0001-75,4108.45,4108.45,,
2023004775,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Aquisição de materiais químicos,HEXIS CIENTIFICA S/A,53.276.010/0001-10,881.67,881.67,881.67,881.67
2023004776,Em Aberto,SETUR - SECRETARIA DE TURISMO,Participação da SETUR na Festa da Cultura Italiana 2023 em Porto Real,ASSOCIACAO VITTORIO EMANUELE II,31.846.801/0001-04,30000,30000,30000,30000
2023004777,Ativo,AGETRANSP - Agência Reg Ser Púb Trans Aqua Fer Met Ro,Aquisição de Utensílios,ANCESTRAL DISTRIBUIDORA DE MATERIAIS DE ESCRITORIO LTDA-ME,16.576.709/0001-70,5694.68,5694.68,5694.68,5694.68
2023004778,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,TECMEDIC COMERCIO DE PRODUTOS MEDICOS LTDA,05.638.301/0004-01,31070,31070,9560,9445.28
2023004779,Em Aberto,AGENERSA - AG REGUL ENERGIA E SANEAMENTO DO EST RJ,Participação e inscrição de servidor no evento H2 HYDROGEN EXPO SOUTH AMERICA que acontecerá nesta cidade nos 20 e 21 de junho de 2023,INTERLINK EXHIBITIONS LTDA,47.982.472/0001-50,1980,1980,1950.3,1950.3
2023004780,Ativo,SETRANS - SECRETARIA DE ESTADO DE TRANSPORTES,A aquisição dos gêneros alimentícios deste termo de referência destinase a atender às necessidades de todos os setores da SETRAM durante o período estimado de 12 doe meses,GUARAILHA DISTRIBUIDORA DE ALIMENTOS LTDA EPP,10.910.334/0001-56,1621.44,1621.44,,
2023004781,Ativo,SETRANS - SECRETARIA DE ESTADO DE TRANSPORTES,A aquisição dos gêneros alimentícios deste termo de referência destinase a atender às necessidades de todos os setores da SETRAM durante o período estimado de 12 doe meses,R. J. BRAGA SERVIÇOS E COMÉRCIO LTDA,34.309.136/0001-08,9965.2,9965.2,,
2023004782,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,AQUISIÇÃO DE ELETRÔNICOS E ELETRODOMÉSTICOS PARA O CENTRO DE ABASTECIMENTO DE INSUMOS DE SAÚDE CAbIS,GLOBAL 233 COMERCIAL LTDA,07.476.343/0001-76,13000,13000,13000,13000
2023004783,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,A aquisição de Sensores BIS com comodato,IMAGEM SISTEMAS MÉDICOS LTDA ,59.269.654/0001-68,938830,82095,,
2023004785,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,AQUISIÇÃO DO MEDICAMENTO VIMBLASTINA SULFATO ID 18477,ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA ME (MATRIZ),10.586.940/0001-68,7706.6,7706.6,,
2023004786,Ativo,FDRM-RJ - Fundo de Desenv. da Região Metropolitana do RJ,CONTRATAÇÃO DE SERVIÇO DE CONSULTORIA PARA ELABORAÇÃO DA COMPLEMENTAÇÃO E CONSOLIDAÇÃO DO PLANO METROPOLITANO DE SANEAMENTO BÁSICO.,COBRAPE CIA BRASILEIRA DE PROJETOS E EMPREENDIMENTOS,58.645.219/0001-28,2882000,960858.8,,
2023004787,Em Aberto,FSERJ - FUNDAÇÃO SAÚDE DO EST. DO RIO DE JANEIRO,EMPENHO,VASCULINE COMERCIO DE MATERIAIS MEDICOS E REPRESENTAÇÕES LTDA.,03.555.303/0001-69,193187.5,193187.5,19562.4,19562.4
2023004788,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,Contratação emergencial de empresa para prestação de serviços de limpea e asseio predial,APPA SERVIÇOS TEMPORARIOS E EFETIVOS LTDA,05.969.071/0001-10,8665445.74,2207241.82,1090174.73,854699.06
2023004789,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,Aquisição de Medicamentos ,DBV COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO DO BRASIL LTDA,17.771.867/0001-43,2710,2710,,
